         294175 function calls (293857 primitive calls) in 13.238 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 case.py:597(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:95(_AssertRaisesContext)
        1    0.005    0.005    0.006    0.006 chebyshev.py:77(<module>)
        1    0.000    0.000    0.000    0.000 client.py:101(ev_logout)
        1    0.000    0.000    0.000    0.000 client.py:103(keyController)
        1    0.000    0.000    0.000    0.000 client.py:104(__init__)
      399    0.005    0.000    0.025    0.000 client.py:111(ev_update)
        1    0.000    0.000    0.000    0.000 client.py:120(ev_escape)
        1    0.000    0.000    0.000    0.000 client.py:123(localStateView)
        1    0.145    0.145    0.145    0.145 client.py:124(__init__)
    79400    0.193    0.000    0.870    0.000 client.py:140(<lambda>)
        1    0.000    0.000    0.005    0.005 client.py:141(ev_distState)
      398    0.016    0.000    0.132    0.000 client.py:146(ev_distEntityPos)
      398    0.025    0.000    4.313    0.011 client.py:156(ev_update)
        1    0.000    0.000    0.000    0.000 client.py:166(errorHandler)
        1    0.000    0.000    0.000    0.000 client.py:167(__init__)
        1    0.000    0.000    0.000    0.000 client.py:176(spinner)
        1    0.000    0.000    0.147    0.147 client.py:177(__init__)
        1    0.074    0.074   10.022   10.022 client.py:187(main)
        1    0.000    0.000   10.022   10.022 client.py:193(run)
        1    0.003    0.003    3.213    3.213 client.py:2(<module>)
        1    0.000    0.000    0.000    0.000 client.py:20(serverWrapper)
        1    0.000    0.000    0.000    0.000 client.py:21(__init__)
       11    0.000    0.000    0.002    0.000 client.py:29(postEvent)
      399    0.027    0.000    0.110    0.000 client.py:33(getData)
        1    0.000    0.000    0.000    0.000 client.py:44(networkController)
        1    0.000    0.000    0.000    0.000 client.py:45(__init__)
        1    0.001    0.001    0.009    0.009 client.py:57(ev_initialStateReceived)
      398    0.019    0.000    0.200    0.001 client.py:63(ev_entityPosReceived)
      399    0.013    0.000    0.331    0.001 client.py:68(ev_update)
        1    0.000    0.000    0.000    0.000 client.py:74(networkView)
        1    0.000    0.000    0.000    0.000 client.py:75(__init__)
        2    0.000    0.000    0.000    0.000 client.py:91(ev_w)
        2    0.000    0.000    0.000    0.000 client.py:93(ev_s)
        2    0.000    0.000    0.000    0.000 client.py:95(ev_a)
        4    0.000    0.000    0.001    0.000 client.py:97(ev_d)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:20(_recursive_repr)
        3    0.002    0.001    0.003    0.001 collections.py:224(namedtuple)
      114    0.000    0.000    0.000    0.000 collections.py:264(<genexpr>)
       17    0.000    0.000    0.000    0.000 collections.py:281(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:342(Counter)
        1    0.000    0.000    0.000    0.000 collections.py:46(OrderedDict)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        2    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1025(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1045(__init__)
       37    0.000    0.000    0.001    0.000 core.py:106(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:125(MAError)
        1    0.000    0.000    0.000    0.000 core.py:128(MaskError)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2250(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2255(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2399(_arraymethod)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        4    0.000    0.000    0.000    0.000 core.py:2441(__get__)
        1    0.000    0.000    0.000    0.000 core.py:2469(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:5521(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:5711(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:5717(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5720(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:5815(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:5870(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5872(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5882(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5884(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5926(_frommethod)
       23    0.000    0.000    0.001    0.000 core.py:5936(__init__)
       23    0.000    0.000    0.001    0.000 core.py:5940(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7137(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7149(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7154(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:723(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:731(__init__)
        1    0.000    0.000    0.000    0.000 core.py:745(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:751(__init__)
        1    0.000    0.000    0.000    0.000 core.py:761(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:763(__init__)
        1    0.000    0.000    0.000    0.000 core.py:776(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:778(__init__)
        1    0.000    0.000    0.000    0.000 core.py:788(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:790(__init__)
        1    0.000    0.000    0.000    0.000 core.py:799(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
        1    0.000    0.000    0.000    0.000 core.py:881(_MaskedBinaryOperation)
        4    0.000    0.000    0.000    0.000 core.py:89(doc_note)
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:144(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:297(prep_simple)
        1    0.001    0.001    0.005    0.005 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 cursors.py:32(<module>)
        1    0.001    0.001    0.001    0.001 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1695(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
        1    0.000    0.000    0.000    0.000 dep_util.py:5(<module>)
