         33889104 function calls (33888896 primitive calls) in 104.676 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 base.py:100(entity)
       35    0.000    0.000    0.001    0.000 base.py:101(__init__)
        2    0.000    0.000    0.000    0.000 base.py:113(moveup)
        2    0.000    0.000    0.000    0.000 base.py:120(movedown)
        6    0.000    0.000    0.000    0.000 base.py:127(moveleft)
       10    0.000    0.000    0.000    0.000 base.py:134(moveright)
        1    0.000    0.000    0.000    0.000 base.py:141(attack)
      119    0.002    0.000    0.014    0.000 base.py:153(update)
        1    0.001    0.001    3.101    3.101 base.py:16(<module>)
        1    0.000    0.000    0.000    0.000 base.py:171(copyableGroup)
    28330    1.723    0.000    4.045    0.000 base.py:173(serialize)
        1    0.000    0.000    0.000    0.000 base.py:23(drawnObject)
      874    0.003    0.000    0.005    0.000 base.py:25(__init__)
   997403    1.638    0.000    1.638    0.000 base.py:31(serialize)
        2    0.000    0.000    0.000    0.000 base.py:33(load)
        1    0.000    0.000    0.000    0.000 base.py:48(floor)
      520    0.001    0.000    0.004    0.000 base.py:49(__init__)
        1    0.000    0.000    0.000    0.000 base.py:51(woodFloor)
      520    0.001    0.000    0.005    0.000 base.py:52(__init__)
        1    0.000    0.000    0.000    0.000 base.py:55(physicalObject)
      354    0.001    0.000    0.003    0.000 base.py:56(__init__)
        1    0.000    0.000    0.000    0.000 base.py:61(block)
      319    0.001    0.000    0.003    0.000 base.py:62(__init__)
        1    0.000    0.000    0.000    0.000 base.py:64(stone)
      314    0.001    0.000    0.003    0.000 base.py:65(__init__)
        1    0.000    0.000    0.000    0.000 base.py:68(stairsUp)
        2    0.000    0.000    0.000    0.000 base.py:69(__init__)
        1    0.000    0.000    0.000    0.000 base.py:79(stairsDown)
        3    0.000    0.000    0.000    0.000 base.py:80(__init__)
        1    0.000    0.000    0.000    0.000 base.py:84(hit)
        1    0.000    0.000    0.000    0.000 base.py:89(stairsWarp)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.003    0.003    0.004    0.004 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:1007(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:130(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:22(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:31(_ExpectedFailure)
        1    0.000    0.000    0.000    0.000 case.py:42(_UnexpectedSuccess)
        7    0.000    0.000    0.000    0.000 case.py:597(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:95(_AssertRaisesContext)
        1    0.003    0.003    0.005    0.005 chebyshev.py:77(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:194(copy)
        1    0.000    0.000    0.000    0.000 collections.py:20(_recursive_repr)
        1    0.001    0.001    0.001    0.001 collections.py:224(namedtuple)
       15    0.000    0.000    0.000    0.000 collections.py:264(<genexpr>)
        4    0.000    0.000    0.000    0.000 collections.py:281(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:342(Counter)
        1    0.000    0.000    0.000    0.000 collections.py:46(OrderedDict)
        6    0.000    0.000    0.000    0.000 collections.py:58(__init__)
       18    0.000    0.000    0.000    0.000 collections.py:76(__setitem__)
       23    0.000    0.000    0.000    0.000 collections.py:97(__iter__)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:113(_copy_with_constructor)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        2    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1025(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1045(__init__)
       37    0.000    0.000    0.001    0.000 core.py:106(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:125(MAError)
        1    0.000    0.000    0.000    0.000 core.py:128(MaskError)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2250(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2255(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2399(_arraymethod)
        9    0.000    0.000    0.000    0.000 core.py:2428(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2434(getdoc)
        4    0.000    0.000    0.000    0.000 core.py:2441(__get__)
        1    0.000    0.000    0.000    0.000 core.py:2469(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:5521(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:5711(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:5717(__new__)
        1    0.000    0.000    0.000    0.000 core.py:5720(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:5815(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:5870(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5872(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5882(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:5884(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5926(_frommethod)
       23    0.000    0.000    0.001    0.000 core.py:5936(__init__)
       23    0.000    0.000    0.001    0.000 core.py:5940(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:7137(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7149(__init__)
        8    0.000    0.000    0.000    0.000 core.py:7154(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:723(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:731(__init__)
        1    0.000    0.000    0.000    0.000 core.py:745(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:751(__init__)
        1    0.000    0.000    0.000    0.000 core.py:761(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:763(__init__)
        1    0.000    0.000    0.000    0.000 core.py:776(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:778(__init__)
        1    0.000    0.000    0.000    0.000 core.py:788(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:790(__init__)
        1    0.000    0.000    0.000    0.000 core.py:799(_MaskedUnaryOperation)
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
        1    0.000    0.000    0.000    0.000 core.py:881(_MaskedBinaryOperation)
        4    0.000    0.000    0.000    0.000 core.py:89(doc_note)
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:144(_ndptr)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:297(prep_simple)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 cursors.py:32(<module>)
        1    0.001    0.001    0.007    0.007 db.py:16(<module>)
        1    0.000    0.000    0.000    0.000 db.py:21(entityDBWrapper)
        2    0.000    0.000    0.000    0.000 db.py:22(__init__)
        2    0.000    0.000    0.001    0.001 db.py:25(fetchEntity)
        2    0.000    0.000    0.226    0.113 db.py:33(saveEntity)
        1    0.005    0.005    0.005    0.005 dbapi2.py:24(<module>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:55(register_adapters_and_converters)
        1    0.001    0.001    0.001    0.001 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1695(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1639(HtmlDiff)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:46(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:766(Differ)
        1    0.000    0.000    0.000    0.000 errors.py:16(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:16(coreError)
        1    0.000    0.000    0.000    0.000 errors.py:17(serverError)
        1    0.000    0.000    0.000    0.000 errors.py:18(drawError)
        1    0.000    0.000    0.000    0.000 errors.py:19(configError)
        1    0.000    0.000    0.000    0.000 errors.py:20(invalidRequestError)
        1    0.000    0.000    0.000    0.000 errors.py:21(netError)
        1    0.000    0.000    0.000    0.000 errors.py:22(dbError)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:1465(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 extras.py:1477(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1531(mr_class)
        1    0.000    0.000    0.000    0.000 extras.py:1547(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:223(_fromnxfunction)
        6    0.000    0.000    0.000    0.000 extras.py:240(__init__)
        6    0.000    0.000    0.000    0.000 extras.py:244(getdoc)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 financial.py:8(<module>)
        1    0.000    0.000    0.000    0.000 floor1.py:16(<module>)
        1    0.000    0.000    0.000    0.000 floor1.py:19(lvl)
        1    0.000    0.000    0.002    0.002 floor1.py:20(__init__)
        1    0.000    0.000    0.000    0.000 floor2.py:16(<module>)
        1    0.000    0.000    0.000    0.000 floor2.py:19(lvl)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
        2    0.001    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1704(vectorize)
      243    0.006    0.000    0.007    0.000 function_base.py:3122(add_newdoc)
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
